turn_id,user_id,message,timestamp,ground_truth,v1_classified,v2_classified,v1_correct,v2_exact_correct,v2_semantic_correct,memories_found,has_prediction,pred_intent,pred_weight,latency_ms,has_error
165,user_analyst,merge 성능 최적화하려면?,2026-03-31T10:05:00,data_analysis,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.566,1131,0
166,user_analyst,주간 리포트 자동화 대시보드 만들려고 하는데,2026-04-01T14:00:00,,data_analysis,technical_discussion,0,0,0,5,0,,,1585,0
167,user_analyst,"DAU, WAU, 매출 추이를 한 화면에 보고 싶어",2026-04-01T14:05:00,,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.56,1202,0
168,user_analyst,ETL 작업 진행상황 공유할게. 80% 완료됐어,2026-04-02T11:00:00,project_status,team_communication,team_collaboration,0,0,1,5,0,,,1483,0
169,user_analyst,데이터 검증 로직이랑 에러 핸들링이 남았어,2026-04-02T11:05:00,project_status,data_analysis,technical_discussion,0,0,0,5,0,,,1852,0
170,user_analyst,넵넵,2026-04-02T11:10:00,,knowledge_lookup,team_collaboration,0,0,0,5,1,knowledge_lookup,0.553,1191,0
171,user_analyst,이상치 탐지 결과 좀 봐줘,2026-04-03T15:00:00,data_analysis,knowledge_lookup,team_collaboration,0,0,0,5,1,knowledge_lookup,0.558,1494,0
172,user_analyst,오키 보고서에 넣어줘,2026-04-03T15:05:00,document_drafting,knowledge_lookup,document_creation,0,0,1,5,1,knowledge_lookup,0.563,1372,0
173,user_analyst,이번 달 신규 가입자 퍼널 분석 쿼리 필요해,2026-04-06T10:00:00,data_analysis,data_analysis,team_collaboration,1,0,0,5,1,knowledge_lookup,0.545,2364,0
174,user_analyst,인덱스 안 타는 것 같은데 실행 계획 봐줘,2026-04-06T10:10:00,data_analysis,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.557,1222,0
175,user_analyst,dbt로 데이터 변환 자동화하는 게 좋을까?,2026-04-06T10:15:00,knowledge_lookup,data_analysis,technical_discussion,0,0,1,5,1,knowledge_lookup,0.583,1486,0
176,user_analyst,시계열 데이터 리샘플링 어떻게 해?,2026-04-07T10:00:00,data_analysis,data_analysis,technical_discussion,1,0,0,5,1,knowledge_lookup,0.538,1156,0
177,user_analyst,rolling average도 같이 보고 싶어,2026-04-07T10:05:00,data_analysis,knowledge_lookup,team_collaboration,0,0,0,5,1,knowledge_lookup,0.551,1170,0
178,user_analyst,오키 고마워,2026-04-07T10:10:00,,knowledge_lookup,team_collaboration,0,0,0,5,1,knowledge_lookup,0.556,1184,0
179,user_analyst,경영진 대시보드에 Funnel 차트 추가해야 해,2026-04-08T14:00:00,,data_analysis,technical_discussion,0,0,0,5,1,knowledge_lookup,0.571,1674,0
180,user_analyst,전환율 단계별로 보여줘야 하는데 어떤 차트가 좋을까,2026-04-08T14:05:00,,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.549,1229,0
181,user_analyst,대시보드 개발 진행률 보고할게,2026-04-09T11:00:00,project_status,data_analysis,team_meeting_prep,0,0,1,5,1,knowledge_lookup,0.6,1461,0
182,user_analyst,김과장님한테 공유할 자료도 만들어줘,2026-04-09T11:05:00,team_communication,team_communication,team_meeting_prep,1,0,1,5,0,,,1439,0
183,user_analyst,주간 데이터 리포트 작성해줘,2026-04-10T15:00:00,document_drafting,data_analysis,team_meeting_prep,0,0,0,5,1,knowledge_lookup,0.562,1419,0
184,user_analyst,그래프도 같이 넣어줘,2026-04-10T15:05:00,document_drafting,knowledge_lookup,team_meeting_prep,0,0,0,5,1,knowledge_lookup,0.543,1044,0
185,user_analyst,A/B 테스트 결과 데이터 추출 쿼리 작성해줘,2026-04-13T10:00:00,data_analysis,data_analysis,team_meeting_prep,1,0,0,5,1,knowledge_lookup,0.588,1504,0
186,user_analyst,통계적 유의성은 어떻게 계산해?,2026-04-13T10:10:00,data_analysis,data_analysis,data_analysis,1,1,1,5,1,knowledge_lookup,0.556,1186,0
187,user_analyst,데이터 품질 모니터링은 어떻게 하면 좋아?,2026-04-13T10:15:00,knowledge_lookup,data_analysis,technical_discussion,0,0,1,5,1,knowledge_lookup,0.526,1118,0
188,user_analyst,넵넵 고마워,2026-04-13T10:20:00,,knowledge_lookup,team_meeting_prep,0,0,0,5,1,knowledge_lookup,0.538,1118,0
189,user_analyst,대용량 CSV 읽을 때 메모리 터지는데 어떡해?,2026-04-14T10:00:00,data_analysis,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.543,1161,0
190,user_analyst,Parquet 포맷으로 변환하는 게 나을까?,2026-04-14T10:05:00,data_analysis,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.547,1146,0
191,user_analyst,리텐션 코호트 분석 시각화하려면 어떻게 해?,2026-04-15T14:00:00,,data_analysis,technical_discussion,0,0,0,5,1,knowledge_lookup,0.55,1136,0
192,user_analyst,matplotlib로도 할 수 있어?,2026-04-15T14:05:00,,knowledge_lookup,technical_discussion,0,0,0,5,1,knowledge_lookup,0.542,1458,0
193,user_analyst,이번 분기 데이터 프로젝트 현황 정리해줘,2026-04-16T11:00:00,project_status,data_analysis,team_meeting_prep,0,0,1,5,1,knowledge_lookup,0.571,1416,0
194,user_analyst,KPI 달성률도 같이 넣어줘,2026-04-16T11:05:00,project_status,knowledge_lookup,team_meeting_prep,0,0,1,5,1,knowledge_lookup,0.536,1408,0
195,user_analyst,넵넵,2026-04-16T11:10:00,,knowledge_lookup,team_meeting_prep,0,0,0,5,1,knowledge_lookup,0.541,1114,0
196,user_analyst,이상치 탐지 결과 좀 봐줘,2026-04-17T15:00:00,data_analysis,knowledge_lookup,team_meeting_prep,0,0,0,5,1,knowledge_lookup,0.545,1430,0
197,user_analyst,오키 보고서에 넣어줘,2026-04-17T15:05:00,document_drafting,knowledge_lookup,document_creation,0,0,1,5,1,knowledge_lookup,0.55,1322,0
